as.vector.log.thetas.	as.vector.coverage.probs.
5.71390267322303	1
6.57250470133202	0.95
3.67874981301028	0.9
5.06066198785824	0.85
5.42690233445816	1
2.67196884384888	0.8
5.62332385402413	1
1.90280464647135	0.95
3.5023312157381	0.95
6.52120382072768	1
7.17714825833574	0.85
4.43769932121737	0.9
7.60289312785083	1
2.57245387208011	0.95
5.45189958579657	0.95
6.1342399993668	0.9
3.78526024198895	1
5.05887081417942	0.95
1.63381715603239	1
6.72265440027151	0.95
6.01847850132037	0.95
1.69122065833263	0.95
3.75853446552724	0.85
6.81451103127006	0.95
3.39402591905123	1
5.77331417570892	1
5.33504083665453	0.9
4.08609916892538	0.95
4.75882176786817	0.95
4.58734141931198	0.95
5.6691890174851	1
4.26762898520567	0.95
3.0673030932645	0.95
6.6506534596904	0.95
4.29337873730871	0.9
4.5660293757312	0.95
4.36004812676065	0.95
6.12157006377091	0.95
3.59681640992276	0.95
6.45890874789251	0.9
9.14050601599759	0.8
1.56500842431754	1
3.27518624903751	0.95
3.55165056498411	1
6.52582049538391	0.9
4.21616514863691	0.95
5.22563278576186	0.95
3.78711891339264	0.75
5.64003961065303	0.95
3.0431181854153	0.9
3.44568443989743	0.95
4.46304900007796	1
5.23543936897264	1
7.7128436583421	0.9
5.93804126348747	1
4.80546057953322	0.95
6.30287510978668	0.85
5.80345193282463	0.9
4.13842579378034	0.95
5.86939298040404	0.95
2.97647826073919	0.9
4.52317899771963	0.95
4.3759203713062	1
4.0535414634032	1
4.58482184428492	0.9
8.70115539138807	1
6.16372730901648	0.85
4.05203607161262	0.85
4.4618321450876	0.9
5.98266267513361	0.95
3.96554261286684	0.95
4.91661662260829	0.9
4.28927779464137	0.95
4.59170660736624	1
9.13587801959652	1
4.15215409367717	0.8
4.71215478457033	0.85
4.86356135401955	0.95
5.44891599029393	0.85
5.54312688392051	1
6.35644940846894	0.95
4.43322291301717	0.9
5.95764447591847	1
6.47858863870494	1
6.41185012052341	1
2.24704821527956	1
5.1874862496902	1
4.60568780091411	0.9
5.61101013075634	1
6.85964234183467	1
3.75128283863111	0.9
5.00299253370112	0.95
2.46590389629332	1
7.09719512073287	0.9
3.04211484018535	1
5.20564346050494	0.95
4.63624932463335	0.9
3.69498678960699	0.95
5.90669333971305	0.95
7.88018815537396	0.9
5.94173073976665	0.95
3.08952998898744	0.95
5.72477982529715	1
4.65529296760932	1
4.77788911500764	1
5.63469985106484	1
5.95388279531386	0.95
6.4701486533105	0.9
5.04472470018103	0.9
3.58737673048915	0.95
1.6699823964239	1
5.49343530341229	0.8
5.65809036617171	0.85
5.70195396636232	1
5.86016106710158	0.9
2.26385622870896	1
7.94412454288076	1
3.12057736471451	1
3.85561358852749	0.95
6.66937434507687	1
5.11273274870284	1
3.77720200972851	1
3.88436619158464	0.95
3.04148242983814	0.95
1.96877392400238	1
8.94663422678119	0.95
6.04242033537925	0.8
4.71407813369084	0.9
6.19532710688101	0.9
2.99449398922569	0.9
3.23326179880621	0.9
4.26005211322359	1
4.73360689979473	0.95
2.36775521627752	0.95
7.59065735519433	0.95
4.88011642337441	0.85
0.519233035871188	0.85
3.3724748018844	0.95
8.67349127074781	0.9
6.00586278891084	1
4.29734255153226	0.95
6.13437454992954	0.9
5.96609239735344	1
4.79547990097904	0.95
4.79343431091511	1
4.00856859173107	0.95
5.23470486002666	0.95
6.00565889292599	1
4.89764322868949	1
6.44564569679966	0.85
3.07417064783581	0.95
4.67774580252031	0.95
5.58095196237405	1
8.02501649086841	0.85
3.08220681679145	0.95
5.31141283952796	0.95
2.06331324825613	1
2.76958372222201	1
7.6998207626834	0.95
4.80807515982107	1
4.94771709325969	0.9
6.80354006415038	1
4.60466704984079	1
1.36900024880517	1
7.98498099415921	0.95
3.74596344238606	0.95
5.69562194278419	1
4.31406256672617	1
5.57434136661443	1
5.57401803013192	1
4.55379990761938	0.9
6.66952571564088	0.95
4.54335886544861	0.95
3.31493133344045	0.95
2.68102542079179	0.95
7.36134339380174	0.95
4.92573600601517	1
3.82895631385432	0.9
4.65837557137953	1
5.81908661831146	0.8
6.28381257505184	0.95
5.40245052883994	0.9
5.43853957441295	0.95
6.80353241257263	0.95
3.85447913407562	1
4.60865237366148	0.95
3.6900973156426	0.95
5.99581808926795	0.95
5.0902578331115	0.85
2.29915121314416	0.95
4.32186891616034	0.95
3.70877716948188	0.95
3.41491297179416	0.95
5.23310958846601	1
3.6196545246061	1
4.22789747579988	1
1.92832548445812	1
4.61935885054143	0.9
5.24382973622868	1
5.09428810016709	0.9
5.20203908344558	1
3.70360802716845	0.95
4.6835574688364	0.9
6.54707618154785	0.95
3.8071835585684	0.95
3.56202385520063	1
6.55256383631265	1
4.25788832365229	0.95
5.19542237786459	0.95
5.07144765625901	0.95
4.70340610977533	1
7.60300054967078	0.8
3.12385940480557	1
4.99741641868869	0.95
8.15468927608352	0.9
5.61683913599373	0.9
4.52365819275003	1
5.63759138600414	1
2.83455015159927	0.9
5.08010974912005	1
3.67644448356596	0.95
4.752208628333	1
3.99636025574586	1
4.96284511620988	1
5.27322970478819	1
3.37087440790365	0.85
2.99946444676288	0.95
6.35475626608683	0.95
2.83150765332516	0.95
4.63564032866237	0.95
4.03034963395239	0.9
7.79829773348647	0.9
4.4852185548018	1
1.89058700003876	0.95
5.42865624540457	0.9
5.97934501593186	0.95
4.85550014674965	1
7.65495820561512	0.95
3.94019944172662	0.9
5.66518156183276	1
4.70776059087252	1
6.75278398605883	0.9
3.98911438687314	1
5.8825767152814	1
0.281649779596911	1
5.53457459152953	0.95
3.55302595878069	0.95
3.55616429172416	1
5.77570604738596	0.95
5.17203440331564	1
4.27284136469417	0.95
6.00439440828568	0.95
5.35586471071904	0.95
3.77302946703297	0.95
7.90318714463469	0.95
5.16561462368712	1
4.55173110608009	0.9
5.87523517486638	1
7.09645490561344	1
6.52214847194624	0.95
9.15076737762535	1
4.81454627234861	1
3.36278740155265	1
3.55720112281653	0.9
3.72919374190387	0.9
3.15868427430616	1
3.66152496983966	1
3.48505839982515	0.95
6.83387437748787	1
8.94123596106354	0.85
6.26067862695361	1
3.63007860921857	0.95
1.33686233990126	0.9
4.18372535233647	1
2.97227715633317	1
4.75050779898137	0.95
5.12683263343761	0.95
4.51571461973712	0.85
2.41880234801263	0.95
3.477769007526	0.95
6.51227106487534	0.95
3.71131341690338	0.95
0.0060119337670006	0.8
5.09943533634493	0.9
3.64493746596968	0.9
4.85882593224572	0.9
4.30087925263575	0.95
4.27781050025981	0.95
3.89842733328596	0.9
4.04740392589751	0.9
2.41329805903644	1
7.15106001166159	1
5.36171140323498	1
5.31294119416517	0.95
6.25890416377579	1
3.064764940973	1
4.5991516105657	0.9
5.1666617830654	0.95
6.40006574201678	0.9
6.45681521883315	0.95
6.16581769135388	0.95
4.01158683256359	0.9
4.36004868713665	0.9
4.88452195978911	1
3.01235125436064	1
7.54749019788613	0.95
7.258584651312	0.85
7.32468836302197	0.95
3.08996579881509	0.95
6.04635417547264	1
5.39559979187606	1
6.10688207322382	1
6.34737777511646	1
6.02765489951577	0.95
6.13367525993601	0.95
5.89389988010014	1
5.45255788671199	1
8.15565720824112	0.95
4.54117643511999	0.85
4.60688131513742	0.9
2.36722147097396	0.95
6.24505948524352	1
6.12382121531872	0.9
8.51948005717884	0.9
5.86039968465031	0.95
3.38102595513791	0.85
7.75318133475237	1
2.86956107021451	1
7.33022838125231	1
4.00944727517589	0.9
7.13210450762251	1
5.60947200760667	0.9
4.645907607915	1
1.64457060116246	1
5.42041312363852	0.95
5.71271280633626	1
5.98987809281377	0.9
5.03865197262088	1
5.5732502676816	0.95
6.96788828090968	0.9
5.23007672532568	0.95
8.87180729186893	0.95
3.42155185070806	0.95
2.85966917627753	1
5.96146857184341	0.9
4.58641384659787	0.95
5.9728909676478	0.9
5.19563606381489	0.8
4.79768328124965	1
5.52301442943039	0.9
2.91378396432839	0.8
5.97754616200351	0.95
6.20651052096202	1
6.03259930698535	1
5.60603550597717	1
5.51799975219264	0.95
3.64895471350122	1
3.57737306808206	0.95
8.23231367544707	0.9
4.40172463776368	1
5.39973099629541	0.9
6.75781767187625	0.9
2.47177534062276	0.95
6.28646820021206	0.9
6.67416079436151	1
4.92631896187694	0.95
2.90597913668133	0.95
0.4295802066257	0.9
4.13798485402532	1
5.61766056144867	0.9
8.63185003648778	0.95
6.49812007778024	0.95
5.2967733055907	1
4.75489294276836	0.9
5.52718504055987	1
5.27490512540863	0.95
7.299442566206	1
5.66627177380027	1
3.29631025022749	1
7.23139091461198	1
5.08199497429953	0.95
6.15331567610475	0.9
3.58514933645668	0.9
4.7102673818875	1
6.4977264000389	1
2.51427693708007	1
6.35837750156927	0.95
7.04272578775048	0.95
5.12512321416942	0.9
6.43426245166722	0.9
7.13987640461681	0.95
5.36408146795078	0.95
5.12671071302613	0.9
6.09550573711634	1
4.42798031123658	0.95
3.76027002109053	0.95
5.78352012429259	1
4.98610812910869	1
4.1687977458355	0.95
3.87320016268693	1
5.97530329407089	0.95
5.03488739040669	0.9
5.75833017149759	0.9
3.78898811222611	1
4.33976669297726	0.95
3.69472580214758	0.9
5.45249529621499	0.85
5.29633869162986	0.9
7.55727705571608	0.95
3.03365212541437	0.95
6.46642739961934	0.95
7.09045925819675	1
3.46442271444679	0.95
5.71506055975408	1
2.94691083188647	0.95
5.48901766524349	1
8.27548222285084	0.95
4.07161194346044	0.95
1.5162058637442	0.95
5.6544505527853	1
2.94999545506419	1
7.40273585228353	1
5.30674622821849	1
4.52871483162617	0.9
6.20313031139164	1
4.05483546824905	0.95
1.91170918956666	0.95
6.82885584618886	0.9
2.66917000333184	0.9
7.9266120810737	1
1.94658367912827	1
6.99543282465393	1
2.690068504452	0.95
6.7295384588724	1
5.26442197609558	1
5.17446688312314	0.95
2.38752629764433	0.9
8.18882688985993	0.95
7.44808807511975	0.85
3.09548185970574	0.85
6.39697455685653	0.9
5.33219425771732	0.95
3.59762262002444	1
6.02619002703881	0.95
3.6747879174178	0.95
4.62357064347723	1
6.82839435817894	0.95
3.64346615855682	1
4.74665204872785	0.95
6.78783463231255	1
3.33226549796457	1
4.69778359313752	0.95
3.38972592021119	1
6.89264186700665	0.9
5.4185356335326	0.95
2.98817386513763	1
6.08128445022344	1
3.88765803268019	1
5.97727699912359	0.95
4.28233654081679	1
3.36510107585975	1
4.44947272776342	0.9
8.1384399918531	0.9
3.95362949008645	0.95
1.89430000200023	1
5.45786600895526	0.95
3.05062656570136	0.9
2.9185686185734	1
6.22394674793017	0.95
4.87727883348183	0.95
5.92812669390973	0.95
5.2561967070741	0.95
2.40135501822285	1
5.00089268351796	1
1.51923968845287	0.95
3.84344007132879	1
4.30252785250151	0.9
4.75417004537482	0.95
5.92695883916979	0.95
5.06371936935985	1
6.93122299287941	1
5.87077560734578	0.95
6.20458343301586	1
2.8668709519241	0.95
4.18604861270618	1
3.68083508440854	1
4.72459428379251	0.85
3.4223438721512	1
4.89689657791699	0.95
6.47195486822601	0.9
4.36328497385547	0.95
2.68794374802738	0.95
5.7455519999097	0.95
6.4851394601759	0.95
3.07979792191475	0.9
5.92924935874228	1
7.72229213292774	0.95
3.12776925378025	0.9
5.71301810004361	0.95
3.87422746919509	0.9
4.88501906915328	0.95
5.65776823642236	0.85
5.26012503859121	0.95
6.21294700146637	0.95
4.4294419891567	0.95
3.80823330899589	0.95
3.69195403194688	0.95
5.25072288738776	0.9
5.43546302191889	1
6.9381198247414	0.95
4.76335290317097	1
5.73719918351958	0.9
3.08411480609853	1
4.21962644057929	1
6.2141785051425	1
4.44904387774142	0.85
2.52927085795864	0.95
5.49011637309292	0.85
7.20179445667305	0.95
6.52169798600913	0.9
6.09080248030993	0.95
5.1793871750017	0.95
5.64336639218177	0.95
4.04412874626365	1
5.46910375113877	1
4.19762627469671	0.95
2.33154923324646	0.9
4.47074465745097	0.95
3.99667134775348	0.95
2.70592099661213	0.95
4.64397152427637	1
5.20685968231028	0.9
8.173365785237	1
6.6529305703903	0.95
9.02952874608804	1
6.7102853205439	1
4.68379260834976	0.95
4.72717143030789	0.95
4.08307758878792	1
4.82867141067023	0.9
3.01980483375372	1
8.02972446005323	0.95
5.25935093317416	0.95
4.61361101906903	0.9
4.77532671954814	0.95
3.44316184687666	1
6.74172955035622	1
2.85880956210046	1
4.2433141437823	1
7.18405065367965	1
6.16820916172417	0.95
4.31835538138416	1
8.4219911160999	0.9
6.73386784241986	0.9
7.217570522156	0.95
3.12447193678843	1
6.55448123425347	1
4.07902009639856	1
4.49547561837703	0.95
6.05917365022988	0.95
3.47491297639453	1
6.34875930755579	0.9
3.68083288377039	0.95
4.53303964053964	0.95
6.20172678503162	0.9
7.20718178827783	0.85
8.63698007701991	1
6.66383332032964	0.95
6.10135742043433	0.95
5.77678942302903	0.95
5.85700495690811	0.95
4.7180596785605	0.9
5.53025809682388	0.9
2.4655899766994	1
4.36443059936552	0.9
4.64688201459287	1
3.37592614094108	1
4.11064128770757	0.85
2.65804780086556	0.95
4.59848695988227	1
3.63564562452163	1
5.26205252390153	0.95
4.39541036428689	1
