row.names,value,nme,method,time
1,  29704,ori router5,obs,(12/25/98 00:00:00)
2, 220552,ori r4-local,obs,(12/25/98 00:00:00)
3,  11457,ori switch,obs,(12/25/98 00:00:00)
4,   5008,ori r4-others,obs,(12/25/98 00:00:00)
5,  21783,ori gw1,obs,(12/25/98 00:00:00)
6,  22609,ori gw2,obs,(12/25/98 00:00:00)
7,  83755,ori gw3,obs,(12/25/98 00:00:00)
8,   2911,ori gw-others,obs,(12/25/98 00:00:00)
9,  11130,dst router5,obs,(12/25/98 00:00:00)
10, 222514,dst r4-local,obs,(12/25/98 00:00:00)
11,  33250,dst switch,obs,(12/25/98 00:00:00)
12,  11348,dst r4-others,obs,(12/25/98 00:00:00)
13,  63403,dst gw1,obs,(12/25/98 00:00:00)
14,  22246,dst gw2,obs,(12/25/98 00:00:00)
15,  33443,dst gw3,obs,(12/25/98 00:00:00)
16,    393,dst gw-others,obs,(12/25/98 00:00:00)
43,  36020,ori router5,obs,(12/25/98 00:05:00)
44, 173595,ori r4-local,obs,(12/25/98 00:05:00)
45,  10277,ori switch,obs,(12/25/98 00:05:00)
46,  11405,ori r4-others,obs,(12/25/98 00:05:00)
47,  18024,ori gw1,obs,(12/25/98 00:05:00)
48,  30297,ori gw2,obs,(12/25/98 00:05:00)
49,  77955,ori gw3,obs,(12/25/98 00:05:00)
50,   7136,ori gw-others,obs,(12/25/98 00:05:00)
51,  17244,dst router5,obs,(12/25/98 00:05:00)
52, 170730,dst r4-local,obs,(12/25/98 00:05:00)
53,  39060,dst switch,obs,(12/25/98 00:05:00)
54,  20076,dst r4-others,obs,(12/25/98 00:05:00)
55,  60434,dst gw1,obs,(12/25/98 00:05:00)
56,  21200,dst gw2,obs,(12/25/98 00:05:00)
57,  35341,dst gw3,obs,(12/25/98 00:05:00)
58,    624,dst gw-others,obs,(12/25/98 00:05:00)
85,  32855,ori router5,obs,(12/25/98 00:10:00)
86, 209892,ori r4-local,obs,(12/25/98 00:10:00)
87,  12219,ori switch,obs,(12/25/98 00:10:00)
88,  10338,ori r4-others,obs,(12/25/98 00:10:00)
89,  19773,ori gw1,obs,(12/25/98 00:10:00)
90,  49130,ori gw2,obs,(12/25/98 00:10:00)
91, 101025,ori gw3,obs,(12/25/98 00:10:00)
92,   6285,ori gw-others,obs,(12/25/98 00:10:00)
93,  10836,dst router5,obs,(12/25/98 00:10:00)
94, 212925,dst r4-local,obs,(12/25/98 00:10:00)
95,  45138,dst switch,obs,(12/25/98 00:10:00)
96,  18253,dst r4-others,obs,(12/25/98 00:10:00)
97,  78944,dst gw1,obs,(12/25/98 00:10:00)
98,  26217,dst gw2,obs,(12/25/98 00:10:00)
99,  48337,dst gw3,obs,(12/25/98 00:10:00)
100,    853,dst gw-others,obs,(12/25/98 00:10:00)
127,  32834,ori router5,obs,(12/25/98 00:14:59)
128, 210140,ori r4-local,obs,(12/25/98 00:14:59)
129,  12233,ori switch,obs,(12/25/98 00:14:59)
130,  10333,ori r4-others,obs,(12/25/98 00:14:59)
131,  19785,ori gw1,obs,(12/25/98 00:14:59)
132,  49257,ori gw2,obs,(12/25/98 00:14:59)
133, 101181,ori gw3,obs,(12/25/98 00:14:59)
134,   6281,ori gw-others,obs,(12/25/98 00:14:59)
135,  10792,dst router5,obs,(12/25/98 00:14:59)
136, 213217,dst r4-local,obs,(12/25/98 00:14:59)
137,  45180,dst switch,obs,(12/25/98 00:14:59)
138,  18243,dst r4-others,obs,(12/25/98 00:14:59)
139,  79067,dst gw1,obs,(12/25/98 00:14:59)
140,  26248,dst gw2,obs,(12/25/98 00:14:59)
141,  48425,dst gw3,obs,(12/25/98 00:14:59)
142,    855,dst gw-others,obs,(12/25/98 00:14:59)
169,  29995,ori router5,obs,(12/25/98 00:19:59)
170, 198008,ori r4-local,obs,(12/25/98 00:19:59)
171,  12586,ori switch,obs,(12/25/98 00:19:59)
172,   9331,ori r4-others,obs,(12/25/98 00:19:59)
173,  26037,ori gw1,obs,(12/25/98 00:19:59)
174,  52665,ori gw2,obs,(12/25/98 00:19:59)
175,  84273,ori gw3,obs,(12/25/98 00:19:59)
176,   8957,ori gw-others,obs,(12/25/98 00:19:59)
